candidate_id,paper_title,year,doi,official_url_1,official_url_2,official_url_3,official_url_4,official_url_5,official_url_6,official_url_7,official_url_8,official_url_9,official_url_10,official_url_11,official_url_12
pending-ref-034,Probing Projections: Interaction Techniques for Interpreting Arrangements and Errors of Dimensionality Reductions,2016,10.1109/TVCG.2015.2467717,https://doi.org/10.1109/TVCG.2015.2467717,https://ieeexplore.ieee.org/search/searchresult.jsp?newsearch=true&queryText=10.1109/TVCG.2015.2467717,https://doi.org/10.1109/tvcg.2015.2467717,http://xplorestaging.ieee.org/ielx7/2945/7307919/7192695.pdf?arnumber=7192695,https://pubmed.ncbi.nlm.nih.gov/26390487,https://www.jneurosci.org/content/jneuro/31/44/15775.full.pdf,https://pubmed.ncbi.nlm.nih.gov/22049421,https://www.ncbi.nlm.nih.gov/pmc/articles/6623027,https://research.vumc.nl/en/publications/7cfae30f-8852-4154-adbc-85815da253a5,https://scholar.google.com/scholar?q=Probing%20Projections%3A%20Interaction%20Techniques%20for%20Interpreting%20Arrangements%20and%20Errors%20of%20Dimensionality%20Reductions,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Probing%20Projections%3A%20Interaction%20Techniques%20for%20Interpreting%20Arrangements%20and%20Errors%20of%20Dimensionality%20Reductions,https://dl.acm.org/action/doSearch?AllField=Probing%20Projections%3A%20Interaction%20Techniques%20for%20Interpreting%20Arrangements%20and%20Errors%20of%20Dimensionality%20Reductions
pending-ref-036,Formalizing visualization design knowledge as constraints: Actionable and extensible models in draco,2019,10.1109/TVCG.2018.2865240,https://doi.org/10.1109/TVCG.2018.2865240,https://ieeexplore.ieee.org/search/searchresult.jsp?newsearch=true&queryText=10.1109/TVCG.2018.2865240,https://doi.org/10.1109/tvcg.2018.2865240,http://xplorestaging.ieee.org/ielx7/2945/8547224/08440847.pdf?arnumber=8440847,https://pubmed.ncbi.nlm.nih.gov/30137004,http://doi.org/10.1109/TVCG.2018.2865240,https://doi.org/10.31219/osf.io/3eg9c,http://doi.org/10.31219/OSF.IO/3EG9C,https://osf.io/3eg9c,https://scholar.google.com/scholar?q=Formalizing%20visualization%20design%20knowledge%20as%20constraints%3A%20Actionable%20and%20extensible%20models%20in%20draco,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Formalizing%20visualization%20design%20knowledge%20as%20constraints%3A%20Actionable%20and%20extensible%20models%20in%20draco,https://dl.acm.org/action/doSearch?AllField=Formalizing%20visualization%20design%20knowledge%20as%20constraints%3A%20Actionable%20and%20extensible%20models%20in%20draco
pending-ref-038,Low-level components of analytic activity in information visualization,2005,,https://doi.org/10.1109/infovis.2005.24,https://doi.org/10.1109/infvis.2005.1532136,https://scholar.google.com/scholar?q=Low-level%20components%20of%20analytic%20activity%20in%20information%20visualization,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Low-level%20components%20of%20analytic%20activity%20in%20information%20visualization,https://dl.acm.org/action/doSearch?AllField=Low-level%20components%20of%20analytic%20activity%20in%20information%20visualization,,,,,,,
pending-ref-042,Scale-independent quality criteria for dimensionality reduction,2010,10.1016/j.patrec.2010.04.013,https://doi.org/10.1016/j.patrec.2010.04.013,https://www.sciencedirect.com/search?qs=10.1016/j.patrec.2010.04.013,https://api.elsevier.com/content/article/PII:S0167865510001364?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0167865510001364?httpAccept=text/plain,http://hdl.handle.net/2078.1/34378,https://journals.iucr.org/a/issues/2008/01/00/sc5010/sc5010.pdf,https://pubmed.ncbi.nlm.nih.gov/18156677,https://hal.science/hal-04925311,https://resolver.sub.uni-goettingen.de/purl?gro-2/55218,https://scholar.google.com/scholar?q=Scale-independent%20quality%20criteria%20for%20dimensionality%20reduction,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Scale-independent%20quality%20criteria%20for%20dimensionality%20reduction,https://dl.acm.org/action/doSearch?AllField=Scale-independent%20quality%20criteria%20for%20dimensionality%20reduction
pending-ref-050,Knowledge Generation Model for Visual Analytics,2014,10.1109/TVCG.2014.2346481,https://doi.org/10.1109/TVCG.2014.2346481,https://ieeexplore.ieee.org/search/searchresult.jsp?newsearch=true&queryText=10.1109/TVCG.2014.2346481,https://doi.org/10.1109/tvcg.2014.2346481,http://xplorestaging.ieee.org/ielx7/2945/6935054/06875967.pdf?arnumber=6875967,https://pubmed.ncbi.nlm.nih.gov/26356874,https://doi.org/10.1109/tvcg.2015.2467591,http://nbn-resolving.de/urn:nbn:de:bsz:352-2-12ol6j8q80gu80,https://scholar.google.com/scholar?q=Knowledge%20Generation%20Model%20for%20Visual%20Analytics,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Knowledge%20Generation%20Model%20for%20Visual%20Analytics,https://dl.acm.org/action/doSearch?AllField=Knowledge%20Generation%20Model%20for%20Visual%20Analytics,,
pending-ref-059,Visualization Analysis and Design,2014,,https://doi.org/10.1201/b17511,https://journals.iucr.org/j/issues/2020/01/00/gj5232/gj5232.pdf,https://pubmed.ncbi.nlm.nih.gov/32047413,https://www.ncbi.nlm.nih.gov/pmc/articles/6998782,https://scholar.google.com/scholar?q=Visualization%20Analysis%20and%20Design,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Visualization%20Analysis%20and%20Design,https://dl.acm.org/action/doSearch?AllField=Visualization%20Analysis%20and%20Design,,,,,
pending-ref-071,Explainers: Expert explorations with crafted projections,2013,10.1109/TVCG.2013.157,https://doi.org/10.1109/TVCG.2013.157,https://ieeexplore.ieee.org/search/searchresult.jsp?newsearch=true&queryText=10.1109/TVCG.2013.157,https://doi.org/10.1109/tvcg.2013.157,http://xplorestaging.ieee.org/ielx7/2945/6634084/06634124.pdf?arnumber=6634124,https://pubmed.ncbi.nlm.nih.gov/24051770,https://www.rand.org/content/dam/rand/pubs/monograph_reports/2007/MR1626.pdf,https://scholar.google.com/scholar?q=Explainers%3A%20Expert%20explorations%20with%20crafted%20projections,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Explainers%3A%20Expert%20explorations%20with%20crafted%20projections,https://dl.acm.org/action/doSearch?AllField=Explainers%3A%20Expert%20explorations%20with%20crafted%20projections,,,
