candidate_id,paper_title,year,doi,official_url_1,official_url_2,official_url_3,official_url_4,official_url_5,official_url_6,official_url_7,official_url_8,official_url_9,official_url_10,official_url_11,official_url_12
pending-ref-074,Persistent Homology for the Evaluation of Dimensionality Reduction Schemes,2015,10.1111/cgf.12655,https://doi.org/10.1111/cgf.12655,https://onlinelibrary.wiley.com/doi/10.1111/cgf.12655,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fcgf.12655,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.12655,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cgf.12655,https://www.ams.org/bull/2009-46-02/S0273-0979-09-01249-X/S0273-0979-09-01249-X.pdf,https://scholar.google.com/scholar?q=Persistent%20Homology%20for%20the%20Evaluation%20of%20Dimensionality%20Reduction%20Schemes,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Persistent%20Homology%20for%20the%20Evaluation%20of%20Dimensionality%20Reduction%20Schemes,https://dl.acm.org/action/doSearch?AllField=Persistent%20Homology%20for%20the%20Evaluation%20of%20Dimensionality%20Reduction%20Schemes,,,
pending-ref-075,Multidimensional Projection with Radial Basis Function and Control Points Selection,2014,10.1109/PacificVis.2014.59,https://doi.org/10.1109/PacificVis.2014.59,https://ieeexplore.ieee.org/search/searchresult.jsp?newsearch=true&queryText=10.1109/PacificVis.2014.59,https://doi.org/10.1109/pacificvis.2014.59,http://xplorestaging.ieee.org/ielx7/6786620/6787115/06787169.pdf?arnumber=6787169,http://www.producao.usp.br/handle/BDPI/45370,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jcc.21287,https://pubmed.ncbi.nlm.nih.gov/19444816,http://hdl.handle.net/11585/886113,https://hdl.handle.net/2027.42/63074,http://doi.org/10.1002/jcc.21287,http://repository.hanyang.ac.kr/handle/20.500.11754/84391,https://scholar.google.com/scholar?q=Multidimensional%20Projection%20with%20Radial%20Basis%20Function%20and%20Control%20Points%20Selection
pending-ref-076,Laplacian eigenmaps for dimensionality reduction and data representation,2003,,https://doi.org/10.1162/089976603321780317,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1118/1.3267037,https://pubmed.ncbi.nlm.nih.gov/20175497,https://www.ncbi.nlm.nih.gov/pmc/articles/2807447,https://scholar.google.com/scholar?q=Laplacian%20eigenmaps%20for%20dimensionality%20reduction%20and%20data%20representation,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Laplacian%20eigenmaps%20for%20dimensionality%20reduction%20and%20data%20representation,https://dl.acm.org/action/doSearch?AllField=Laplacian%20eigenmaps%20for%20dimensionality%20reduction%20and%20data%20representation,,,,,
pending-ref-078,Interactive visualization of streaming text data with dynamic maps,2013,10.7155/jgaa.00302,https://doi.org/10.7155/jgaa.00302,https://academic.oup.com/bib/article-pdf/14/2/178/546734/bbs017.pdf,https://pubmed.ncbi.nlm.nih.gov/22517427,https://escholarship.org/uc/item/07t3g37w,http://europepmc.org/articles/PMC3603213,https://www.ncbi.nlm.nih.gov/pmc/articles/3603213,https://scholar.google.com/scholar?q=Interactive%20visualization%20of%20streaming%20text%20data%20with%20dynamic%20maps,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Interactive%20visualization%20of%20streaming%20text%20data%20with%20dynamic%20maps,https://dl.acm.org/action/doSearch?AllField=Interactive%20visualization%20of%20streaming%20text%20data%20with%20dynamic%20maps,,,
pending-ref-081,Nonlinear dimensionality reduction by semideﬁnite programming and kernel matrix factorization,2005,,https://scholar.google.com/scholar?q=Nonlinear%20dimensionality%20reduction%20by%20semide%EF%AC%81nite%20programming%20and%20kernel%20matrix%20factorization,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Nonlinear%20dimensionality%20reduction%20by%20semide%EF%AC%81nite%20programming%20and%20kernel%20matrix%20factorization,https://dl.acm.org/action/doSearch?AllField=Nonlinear%20dimensionality%20reduction%20by%20semide%EF%AC%81nite%20programming%20and%20kernel%20matrix%20factorization,,,,,,,,,
pending-ref-084,"Out-of-sample extensions for LLE, isomap, MDS, eigenmaps, and spectral clustering",2004,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.3.1537,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.420.5053,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.5.1709,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.72.6300,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.9.3475,https://doi.org/10.1162/0899766041732396,https://pubmed.ncbi.nlm.nih.gov/15333211,https://scholar.google.com/scholar?q=Out-of-sample%20extensions%20for%20LLE%2C%20isomap%2C%20MDS%2C%20eigenmaps%2C%20and%20spectral%20clustering,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Out-of-sample%20extensions%20for%20LLE%2C%20isomap%2C%20MDS%2C%20eigenmaps%2C%20and%20spectral%20clustering,https://dl.acm.org/action/doSearch?AllField=Out-of-sample%20extensions%20for%20LLE%2C%20isomap%2C%20MDS%2C%20eigenmaps%2C%20and%20spectral%20clustering,,
pending-ref-085,Hessian eigenmaps: Locally linear embedding techniques for high-dimensional data,2003,,http://doi.org/10.1073/pnas.1031596100,https://doi.org/10.1073/pnas.1031596100,https://pubmed.ncbi.nlm.nih.gov/16576753,https://www.ncbi.nlm.nih.gov/pmc/articles/156245,https://academic.oup.com/bioinformatics/article-pdf/31/18/2989/49035225/bioinformatics_31_18_2989.pdf,https://pubmed.ncbi.nlm.nih.gov/26002886,http://bioinformatics.oxfordjournals.org/cgi/content/short/31/18/2989,https://push-zb.helmholtz-muenchen.de/frontdoor.php?source_opus=44922,https://scholar.google.com/scholar?q=Hessian%20eigenmaps%3A%20Locally%20linear%20embedding%20techniques%20for%20high-dimensional%20data,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Hessian%20eigenmaps%3A%20Locally%20linear%20embedding%20techniques%20for%20high-dimensional%20data,https://dl.acm.org/action/doSearch?AllField=Hessian%20eigenmaps%3A%20Locally%20linear%20embedding%20techniques%20for%20high-dimensional%20data,
pending-ref-093,Data visualization with multidimensional scaling,2008,,https://doi.org/10.1198/106186008x318440,https://doi.org/10.1016/s0031-3203(99)00078-3,https://scholar.google.com/scholar?q=Data%20visualization%20with%20multidimensional%20scaling,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Data%20visualization%20with%20multidimensional%20scaling,https://dl.acm.org/action/doSearch?AllField=Data%20visualization%20with%20multidimensional%20scaling,,,,,,,
pending-ref-094,A new quality assessment criterion for nonlinear dimensionality reduction,2011,,https://doi.org/10.1016/j.neucom.2010.10.011,https://dl.acm.org/doi/pdf/10.1145/331499.331504,https://scholar.google.com/scholar?q=A%20new%20quality%20assessment%20criterion%20for%20nonlinear%20dimensionality%20reduction,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=A%20new%20quality%20assessment%20criterion%20for%20nonlinear%20dimensionality%20reduction,https://dl.acm.org/action/doSearch?AllField=A%20new%20quality%20assessment%20criterion%20for%20nonlinear%20dimensionality%20reduction,,,,,,,
pending-ref-095,Visualizing gene interaction graphs with local multidimensional scaling,2006,,http://lib.tkk.fi/Diss/2007/isbn9789512287529/article6.pdf,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.100.869,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.103.1074,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.144.5363,https://academic.oup.com/nar/article-pdf/34/suppl_1/D535/3925435/gkj109.pdf,https://pubmed.ncbi.nlm.nih.gov/16381927,http://europepmc.org/pmc/articles/PMC1347471,http://doi.org/10.1093/nar/gkj109,https://doi.org/10.25504/fairsharing.9d5f5r,https://scholar.google.com/scholar?q=Visualizing%20gene%20interaction%20graphs%20with%20local%20multidimensional%20scaling,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Visualizing%20gene%20interaction%20graphs%20with%20local%20multidimensional%20scaling,https://dl.acm.org/action/doSearch?AllField=Visualizing%20gene%20interaction%20graphs%20with%20local%20multidimensional%20scaling
