candidate_id,title,source_pdf,relevant,reason
pending-ref-015,Feature Learning for Nonlinear Dimensionality Reduction toward Maximal Extraction of Hidden Patterns,papers/raw/pending-references/pending-ref-015-2023-feature-learning-for-nonlinear-dimensionality-reduction-toward-maximal-extraction-of.pdf,true,body_core_terms
pending-ref-016,Visual interaction with dimensionality reduction: A structured literature analysis,papers/raw/pending-references/pending-ref-016-2017-visual-interaction-with-dimensionality-reduction-a-structured-literature-analysis.pdf,true,body_core_terms
pending-ref-018,A General Framework for Dimensionality-Reducing Data Visualization Mapping,papers/raw/pending-references/pending-ref-018-2012-a-general-framework-for-dimensionality-reducing-data-visualization-mapping.pdf,true,seed_context_supported
pending-ref-019,Local multidimensional scaling,papers/raw/pending-references/pending-ref-019-2006-local-multidimensional-scaling.pdf,true,body_core_terms
pending-ref-021,Axisketcher: Interactive nonlinear axis mapping of visualizations through user drawings,papers/raw/pending-references/pending-ref-021-2017-axisketcher-interactive-nonlinear-axis-mapping-of-visualizations-through-user-drawing.pdf,true,body_core_terms
pending-ref-022,Human cluster evaluation and formal quality measures: A comparative study,papers/raw/pending-references/pending-ref-022-2012-human-cluster-evaluation-and-formal-quality-measures-a-comparative-study.pdf,true,body_core_terms
pending-ref-023,Visual quality metrics and human perception: an initial study on 2D projections of large multidimensional data,papers/raw/pending-references/pending-ref-023-2010-visual-quality-metrics-and-human-perception-an-initial-study-on-2d-projections-of-lar.pdf,true,body_core_terms
pending-ref-024,VisCoDeR: A tool for visually comparing dimensionality reduction algorithms,papers/raw/pending-references/pending-ref-024-2018-viscoder-a-tool-for-visually-comparing-dimensionality-reduction-algorithms.pdf,true,body_core_terms
pending-ref-026,UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction,papers/raw/pending-references/pending-ref-026-2020-umap-uniform-manifold-approximation-and-projection-for-dimension-reduction.pdf,true,body_core_terms
pending-ref-027,Perceptionbased visual quality measures,papers/raw/pending-references/pending-ref-027-2011-perceptionbased-visual-quality-measures.pdf,true,seed_context_supported
pending-ref-028,Visualizing the quality of dimensionality reduction,papers/raw/pending-references/pending-ref-028-2013-visualizing-the-quality-of-dimensionality-reduction.pdf,true,body_core_terms
pending-ref-029,Stability Comparison of Dimensionality Reduction Techniques Attending to Data and Parameter Variations,papers/raw/pending-references/pending-ref-029-2013-stability-comparison-of-dimensionality-reduction-techniques-attending-to-data-and-par.pdf,true,body_core_terms
pending-ref-030,Interactive Dimensionality Reduction for Comparative Analysis,papers/raw/pending-references/pending-ref-030-2022-interactive-dimensionality-reduction-for-comparative-analysis.pdf,true,body_core_terms
pending-ref-031,Interactive Visual Cluster Analysis by Contrastive Dimensionality Reduction,papers/raw/pending-references/pending-ref-031-2022-interactive-visual-cluster-analysis-by-contrastive-dimensionality-reduction.pdf,true,body_core_terms
pending-ref-032,Dimensionality reduction for visualizing single-cell data using UMAP,papers/raw/pending-references/pending-ref-032-2019-dimensionality-reduction-for-visualizing-single-cell-data-using-umap.pdf,true,body_core_terms
pending-ref-035,Stress Maps: Analysing Local Phenomena in Dimensionality Reduction Based Visualisations,papers/raw/pending-references/pending-ref-035-2010-stress-maps-analysing-local-phenomena-in-dimensionality-reduction-based-visualisation.pdf,true,body_core_terms
pending-ref-037,Attribute-based Visual Explanation of Multidimensional Projections,papers/raw/pending-references/pending-ref-037-2015-attribute-based-visual-explanation-of-multidimensional-projections.pdf,true,body_core_terms
pending-ref-039,Assessing singlecell transcriptomic variability through density-preserving data visualization,papers/raw/pending-references/pending-ref-039-2021-assessing-singlecell-transcriptomic-variability-through-density-preserving-data-visua.pdf,true,body_core_terms
pending-ref-040,tviSNE: Interactive Assessment and Interpretation of t-SNE Projections,papers/raw/pending-references/pending-ref-040-2020-tvisne-interactive-assessment-and-interpretation-of-t-sne-projections.pdf,true,body_core_terms
pending-ref-041,Quantitative evaluation of time-dependent multidimensional projection techniques,papers/raw/pending-references/pending-ref-041-2020-quantitative-evaluation-of-time-dependent-multidimensional-projection-techniques.pdf,true,body_core_terms
pending-ref-043,Local procrustes for manifold embedding: A measure of embedding quality and embedding algorithms,papers/raw/pending-references/pending-ref-043-2009-local-procrustes-for-manifold-embedding-a-measure-of-embedding-quality-and-embedding.pdf,true,body_core_terms
pending-ref-044,ClassiMap: A new dimension reduction technique for exploratory data analysis of labeled data,papers/raw/pending-references/pending-ref-044-2015-classimap-a-new-dimension-reduction-technique-for-exploratory-data-analysis-of-labele.pdf,true,body_core_terms
