candidate_id,paper_title,authors,year,doi,source_seed_count,source_seed_notes,source_seed_pdfs,mentions,max_title_keyword_score,max_context_score,confidence,relevance_signals,status,next_action,download_status,downloaded_pdf,resolved_url,source_channel,error,retry_status,retry_url,retry_source,retry_error
pending-ref-074,Persistent Homology for the Evaluation of Dimensionality Reduction Schemes,Bastian Rieck and Heike Leitte,2015,10.1111/cgf.12655,2,papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/jeon25chi (4).pdf,2,2,1,high,title_keywords=2; body_citation_context=1; doi_found,missing,collect_pdf,missing,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cgf.12655,openalex_doi,http_403,missing,https://www.ams.org/bull/2009-46-02/S0273-0979-09-01249-X/S0273-0979-09-01249-X.pdf,openalex_title,http_403
pending-ref-075,Multidimensional Projection with Radial Basis Function and Control Points Selection,"Elisa Amorim, Emilio V. Brazil, Luis G. Nonato, Faramarz Samavati, and Mario C. Sousa",2014,10.1109/PacificVis.2014.59,2,papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/jeon25chi (4).pdf,2,2,1,high,title_keywords=2; body_citation_context=1; doi_found,missing,collect_pdf,missing,,http://www.producao.usp.br/handle/BDPI/45370,openalex_doi,http_404,missing,http://repository.hanyang.ac.kr/handle/20.500.11754/84391,openalex_title,http_403
pending-ref-076,Laplacian eigenmaps for dimensionality reduction and data representation,M. Belkin and P. Niyogi,2003,,2,papers/notes/2015-gisbrecht-nonlinear-dr-visualization.md; papers/notes/2019-mdp-visual-analytics-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/WIREs Data Min   Knowl - 2015 - Gisbrecht - Data visualization by nonlinear dimensionality reduction.pdf,2,2,1,high,title_keywords=2; body_citation_context=1,missing,collect_pdf,missing,,https://doi.org/10.1162/089976603321780317,openalex_title,http_403,missing,https://pmc.ncbi.nlm.nih.gov/articles/PMC2807447/,openalex_title,no_pdf_content
pending-ref-078,Interactive visualization of streaming text data with dynamic maps,"E. R. Gansner, Y . Hu, and S. C. North",2013,10.7155/jgaa.00302,2,papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2024-large-scale-text-spatialization.md,papers/raw/Large-Scale_Evaluation_of_Topic_Models_and_Dimensionality_Reduction_Methods_for_2D_Text_Spatialization.pdf; papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf,2,1,1,high,title_keywords=1; body_citation_context=1; doi_found,missing,collect_pdf,missing,,https://jgaa.info/index.php/jgaa/citationstylelanguage/download/bibtex?submissionId=2620&publicationId=2608,doi_landing,no_pdf_content,missing,https://pmc.ncbi.nlm.nih.gov/articles/PMC3603213/,openalex_title,no_pdf_content
pending-ref-079,Adaptive manifold learning,"[Zhang2012] Zhang, Z.; Wang, J. & Zha, H",2012,,2,papers/notes/2009-comparative-review-dr-techniques.md; papers/notes/2014-sorzano-survey-dr-techniques.md,papers/raw/1403.2877v1.pdf; papers/raw/Dimensionality_Reduction_A_Comparative_Review.pdf,2,1,1,medium,title_keywords=1; body_citation_context=1,missing,collect_pdf,missing,,https://pubmed.ncbi.nlm.nih.gov/21670485/,openalex_title,no_pdf_content,found,https://papers.nips.cc/paper/2004/file/eb0ecdb070a1a0ac46de0cd733d39cf3-Paper.pdf,openalex_title,
pending-ref-080,iPCA: An Interactive System for PCA-based Visual Analytics,"Dong Hyun Jeong, Caroline Ziemkiewicz, Brian Fisher, William Ribarsky, and Remco Chang",2009,10.1111/j.1467-8659.2009.01475.x,2,papers/notes/2019-mdp-visual-analytics-survey.md; papers/notes/2025-jeon-reliable-va-survey.md,papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf; papers/raw/jeon25chi (4).pdf,2,1,1,high,title_keywords=1; body_citation_context=1; doi_found,missing,collect_pdf,missing,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1467-8659.2009.01475.x,openalex_doi,http_403,found,https://hal.science/hal-01998052v1/file/article1_aim.pdf,openalex_title,
pending-ref-081,Nonlinear dimensionality reduction by semideﬁnite programming and kernel matrix factorization,"K. Q. Weinberger, B. Packer, and L. K. Saul",2005,,2,papers/notes/2009-comparative-review-dr-techniques.md; papers/notes/2021-quantitative-survey-dr-techniques.md,papers/raw/Dimensionality_Reduction_A_Comparative_Review.pdf; papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf,2,1,1,high,title_keywords=1; body_citation_context=1,missing,collect_pdf,missing,,,,no_candidate_url,missing,,,no_candidate_url
pending-ref-082,Learning a kernel matrix for nonlinear dimensionality reduction,"K. Q. Weinberger, F. Sha, and L. K. Saul",2004,,2,papers/notes/2009-comparative-review-dr-techniques.md; papers/notes/2021-quantitative-survey-dr-techniques.md,papers/raw/Dimensionality_Reduction_A_Comparative_Review.pdf; papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf,2,1,1,high,title_keywords=1; body_citation_context=1,missing,collect_pdf,missing,,https://doi.org/10.1145/1015330.1015345,openalex_title,http_403,found,https://hal.science/hal-03926082/document,openalex_title,
pending-ref-084,"Out-of-sample extensions for LLE, isomap, MDS, eigenmaps, and spectral clustering","Y. Bengio, J.-f. Paiement, P. Vincent, O. Delalleau, N. L. Roux, and M. Ouimet",2004,,2,papers/notes/2009-comparative-review-dr-techniques.md; papers/notes/2019-mdp-visual-analytics-survey.md,papers/raw/Dimensionality_Reduction_A_Comparative_Review.pdf; papers/raw/Multidimensional_Projection_for_Visual_Analytics_Linking_Techniques_with_Distortions_Tasks_and_Layout_Enrichment (1).pdf,2,1,1,high,title_keywords=1; body_citation_context=1,missing,collect_pdf,missing,,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.9.3475,openalex_title,no_pdf_content,missing,https://pubmed.ncbi.nlm.nih.gov/15333211/,openalex_title,no_pdf_content
pending-ref-085,Hessian eigenmaps: Locally linear embedding techniques for high-dimensional data,D. L. Donoho and C. Grimes,2003,,2,papers/notes/2014-sorzano-survey-dr-techniques.md; papers/notes/2021-quantitative-survey-dr-techniques.md,papers/raw/1403.2877v1.pdf; papers/raw/Toward_a_Quantitative_Survey_of_Dimension_Reduction_Techniques (1).pdf,2,1,1,high,title_keywords=1; body_citation_context=1,missing,collect_pdf,missing,,https://pmc.ncbi.nlm.nih.gov/articles/PMC156245/,openalex_title,no_pdf_content,missing,https://push-zb.helmholtz-munich.de/frontdoor.php?source_opus=44922,openalex_title,no_pdf_content
